Instance_name,BKS,Best_cost,Avrg_cost,Best_temp,Avrg_temp,Best_gap,Avrg_gap
A-n32-k5,784,952.0,952.0,0.01400303840637207,0.014,0.21428571428571427,0.2143
A-n33-k5,661,894.0,894.0,0.01600360870361328,0.016,0.3524962178517398,0.3525
A-n33-k6,742,918.0,918.0,0.018003225326538086,0.018,0.2371967654986523,0.2372
A-n34-k5,778,1022.0,1022.0,0.016004085540771484,0.016,0.31362467866323906,0.3136
A-n36-k5,799,1033.0,1033.0,0.020004987716674805,0.02,0.2928660826032541,0.2929
A-n37-k5,669,826.0,826.0,0.01800370216369629,0.018,0.23467862481315396,0.2347
A-n37-k6,949,1262.0,1262.0,0.019004344940185547,0.019,0.32982086406743943,0.3298
A-n38-k5,730,983.0,983.0,0.01900482177734375,0.019,0.34657534246575344,0.3466
A-n39-k5,822,993.0,993.0,0.021004915237426758,0.021,0.20802919708029197,0.208
A-n39-k6,831,922.0,922.0,0.027006864547729492,0.027,0.1095066185318893,0.1095
A-n44-k6,937,1089.0,1089.0,0.02200460433959961,0.022,0.1622198505869797,0.1622
A-n45-k6,944,1116.0,1116.0,0.023005247116088867,0.023,0.18220338983050846,0.1822
A-n45-k7,1146,1403.0,1403.0,0.02200460433959961,0.022,0.22425828970331588,0.2243
A-n46-k7,914,1185.0,1185.0,0.02600550651550293,0.026,0.2964989059080963,0.2965
A-n48-k7,1073,1468.0,1468.0,0.025005102157592773,0.025,0.3681267474370923,0.3681
A-n53-k7,1010,1434.0,1434.0,0.03300738334655762,0.033,0.4198019801980198,0.4198
A-n54-k7,1167,1355.0,1355.0,0.03700876235961914,0.037,0.1610968294772922,0.1611
A-n55-k9,1073,1358.0,1358.0,0.03400826454162598,0.034,0.2656104380242311,0.2656
A-n60-k9,1354,1746.0,1746.0,0.03700852394104004,0.037,0.2895125553914328,0.2895
A-n61-k9,1034,1403.0,1403.0,0.04300999641418457,0.043,0.3568665377176016,0.3569
A-n62-k8,1288,1738.0,1738.0,0.0490117073059082,0.049,0.34937888198757766,0.3494
A-n63-k10,1314,1759.0,1759.0,0.042009830474853516,0.042,0.3386605783866058,0.3387
A-n63-k9,1616,1982.0,1982.0,0.046010732650756836,0.046,0.2264851485148515,0.2265
A-n64-k9,1401,1648.0,1648.0,0.05001235008239746,0.05,0.1763026409707352,0.1763
A-n65-k9,1174,1507.0,1507.0,0.047009944915771484,0.047,0.2836456558773424,0.2836
A-n69-k9,1159,1433.0,1433.0,0.05101156234741211,0.051,0.2364106988783434,0.2364
A-n80-k10,1763,2297.0,2297.0,0.06101417541503906,0.061,0.3028927963698242,0.3029
