Instance_name,BKS,Best_cost,Avrg_cost,Best_temp,Avrg_temp,Best_gap,Avrg_gap
B-n31-k5,672,859.0,859.0,0.015002727508544922,0.015,0.27827380952380953,0.2783
B-n34-k5,788,922.0,922.0,0.014003515243530273,0.014,0.1700507614213198,0.1701
B-n35-k5,955,1195.0,1195.0,0.018004417419433594,0.018,0.2513089005235602,0.2513
B-n38-k6,805,967.0,967.0,0.02200460433959961,0.022,0.20124223602484473,0.2012
B-n39-k5,549,1045.0,1045.0,0.018004179000854492,0.018,0.9034608378870674,0.9035
B-n41-k6,829,969.0,969.0,0.021004915237426758,0.021,0.16887816646562123,0.1689
B-n43-k6,742,860.0,860.0,0.023006677627563477,0.023,0.15902964959568733,0.159
B-n44-k7,909,1103.0,1103.0,0.024005889892578125,0.024,0.21342134213421343,0.2134
B-n45-k5,751,925.0,925.0,0.026082992553710938,0.0261,0.23169107856191745,0.2317
B-n45-k6,678,940.0,940.0,0.029006481170654297,0.029,0.3864306784660767,0.3864
B-n50-k7,741,1088.0,1088.0,0.03000640869140625,0.03,0.4682860998650472,0.4683
B-n50-k8,1312,1527.0,1527.0,0.02800607681274414,0.028,0.1638719512195122,0.1639
B-n51-k7,1032,1335.0,1335.0,0.042008399963378906,0.042,0.2936046511627907,0.2936
B-n52-k7,747,946.0,946.0,0.03200888633728027,0.032,0.26639892904953144,0.2664
B-n56-k7,707,1166.0,1166.0,0.03400754928588867,0.034,0.6492220650636492,0.6492
B-n57-k7,1153,1567.0,1567.0,0.03200793266296387,0.032,0.3590633130962706,0.3591
B-n57-k9,1598,1960.0,1960.0,0.03600740432739258,0.036,0.2265331664580726,0.2265
B-n63-k10,1496,1985.0,1985.0,0.0510106086730957,0.051,0.32687165775401067,0.3269
B-n64-k9,861,1306.0,1306.0,0.04501056671142578,0.045,0.5168408826945412,0.5168
B-n66-k9,1316,1566.0,1566.0,0.04801058769226074,0.048,0.1899696048632219,0.19
B-n67-k10,1032,1503.0,1503.0,0.04501008987426758,0.045,0.4563953488372093,0.4564
B-n68-k9,1272,1506.0,1506.0,0.043009042739868164,0.043,0.18396226415094338,0.184
B-n78-k10,1221,1720.0,1720.0,0.05501222610473633,0.055,0.4086814086814087,0.4087
