Instance_name,BKS,Best_cost,Avrg_cost,Best_temp,Avrg_temp,Best_gap,Avrg_gap,n_iter
A-n32-k5,784,829.0,837.8,1.6359453201293945,8.01,0.05739795918367347,0.07,10000.0
A-n33-k5,661,700.0,706.8,6.005384206771851,7.4,0.059001512859304085,0.07,10000.0
A-n33-k6,742,761.0,767.6,16.496244430541992,13.07,0.025606469002695417,0.03,10000.0
A-n34-k5,778,807.0,818.6,18.838388204574585,12.07,0.037275064267352186,0.05,10000.0
A-n36-k5,799,817.0,823.8,5.670271396636963,16.07,0.02252816020025031,0.03,10000.0
A-n37-k5,669,704.0,708.6,23.999207973480225,19.12,0.052316890881913304,0.06,10000.0
A-n37-k6,949,1021.0,1024.4,15.777881860733032,13.6,0.07586933614330875,0.08,10000.0
A-n38-k5,730,768.0,771.2,5.587158441543579,16.74,0.052054794520547946,0.06,10000.0
A-n39-k5,822,838.0,851.6,29.2511568069458,18.8,0.019464720194647202,0.04,10000.0
A-n39-k6,831,857.0,857.0,8.027068853378296,16.68,0.031287605294825514,0.03,10000.0
A-n44-k6,937,965.0,969.2,8.606553554534912,19.66,0.029882604055496264,0.03,10000.0
A-n45-k6,944,1016.0,1024.4,12.223832845687866,10.6,0.07627118644067797,0.09,10000.0
A-n45-k7,1146,1233.0,1237.4,28.565032243728638,34.05,0.07591623036649214,0.08,10000.0
A-n46-k7,914,945.0,960.4,34.308348417282104,25.25,0.03391684901531729,0.05,10000.0
A-n48-k7,1073,1147.0,1157.6,25.21123957633972,28.15,0.06896551724137931,0.08,10000.0
A-n53-k7,1010,1116.0,1125.0,23.562804222106934,33.86,0.10495049504950495,0.11,10000.0
A-n54-k7,1167,1233.0,1244.6,16.49532985687256,36.37,0.056555269922879174,0.07,10000.0
A-n55-k9,1073,1109.0,1121.0,36.03278470039368,45.24,0.033550792171481825,0.04,10000.0
A-n60-k9,1354,1501.0,1529.6,52.47309732437134,56.49,0.1085672082717873,0.13,10000.0
A-n61-k9,1034,1103.0,1125.8,8.945445775985718,47.38,0.06673114119922631,0.09,10000.0
A-n62-k8,1288,1379.0,1402.4,15.416697263717651,44.59,0.07065217391304347,0.09,10000.0
A-n63-k10,1314,1425.0,1466.6,68.41419172286987,62.55,0.08447488584474885,0.12,10000.0
A-n63-k9,1616,1712.0,1742.6,24.80338406562805,44.81,0.0594059405940594,0.08,10000.0
A-n64-k9,1401,1526.0,1532.8,29.38673186302185,62.02,0.08922198429693076,0.09,10000.0
A-n65-k9,1174,1284.0,1314.2,87.73913145065308,53.73,0.09369676320272573,0.12,10000.0
A-n69-k9,1159,1288.0,1299.6,19.323338985443115,61.42,0.11130284728213978,0.12,10000.0
A-n80-k10,1763,1975.0,1984.4,55.575836420059204,77.88,0.12024957458876914,0.13,10000.0
