Instance_name,BKS,Best_cost,Avrg_cost,Best_temp,Avrg_temp,Best_gap,Avrg_gap
A-n32-k5,784,866.0,966.8,0.0019998550415039062,0.0022,0.10459183673469388,0.2332
A-n33-k5,661,782.0,858.6,0.004000663757324219,0.003,0.18305597579425115,0.2989
A-n33-k6,742,929.0,945.6,0.002000093460083008,0.0028,0.25202156334231807,0.2744
A-n34-k5,778,927.0,989.8,0.003001689910888672,0.0022,0.19151670951156813,0.2722
A-n36-k5,799,960.0,1030.4,0.007000923156738281,0.004,0.20150187734668334,0.2896
A-n37-k5,669,849.0,891.0,0.0020008087158203125,0.0026,0.26905829596412556,0.3318
A-n37-k6,949,1064.0,1173.0,0.0030007362365722656,0.0022,0.12118018967334036,0.236
A-n38-k5,730,861.0,926.4,0.002000570297241211,0.0036,0.17945205479452056,0.269
A-n39-k5,822,980.0,1047.8,0.003000974655151367,0.0028,0.1922141119221411,0.2747
A-n39-k6,831,1031.0,1083.0,0.0050008296966552734,0.0046,0.24067388688327315,0.3032
A-n44-k6,937,1085.0,1108.4,0.003002166748046875,0.0052,0.15795090715048027,0.1829
A-n45-k6,944,1163.0,1271.0,0.003000497817993164,0.0048,0.2319915254237288,0.3464
A-n45-k7,1146,1345.0,1407.8,0.006001472473144531,0.0052,0.1736474694589878,0.2284
A-n46-k7,914,1060.0,1145.0,0.006063222885131836,0.0062,0.15973741794310722,0.2527
A-n48-k7,1073,1296.0,1377.6,0.005068302154541016,0.0052,0.20782851817334577,0.2839
A-n53-k7,1010,1319.0,1348.8,0.015071392059326172,0.0068,0.30594059405940593,0.3354
A-n54-k7,1167,1344.0,1403.2,0.005001068115234375,0.0074,0.15167095115681234,0.2024
A-n55-k9,1073,1257.0,1392.2,0.007001638412475586,0.009,0.17148182665424044,0.2975
A-n60-k9,1354,1729.0,1784.2,0.00600123405456543,0.0082,0.27695716395864106,0.3177
A-n61-k9,1034,1258.0,1369.4,0.017081022262573242,0.011,0.21663442940038685,0.3244
A-n62-k8,1288,1642.0,1720.6,0.013003110885620117,0.0138,0.2748447204968944,0.3359
A-n63-k10,1314,1688.0,1791.8,0.016002416610717773,0.0135,0.2846270928462709,0.3636
A-n63-k9,1616,1926.0,2025.8,0.017064809799194336,0.014,0.19183168316831684,0.2536
A-n64-k9,1401,1685.0,1791.8,0.03400731086730957,0.0164,0.2027123483226267,0.2789
A-n65-k9,1174,1438.0,1584.2,0.016003131866455078,0.0126,0.22487223168654175,0.3494
A-n69-k9,1159,1452.0,1510.6,0.04307985305786133,0.021,0.2528041415012942,0.3034
A-n80-k10,1763,2168.0,2299.0,0.02200460433959961,0.0208,0.22972206466250708,0.304
