Instance_name,BKS,Best_cost,Avrg_cost,Best_temp,Avrg_temp,Best_gap,Avrg_gap
B-n31-k5,672,704.0,706.4,32.14220213890076,9.4492,0.047619047619047616,0.0512
B-n34-k5,788,807.0,814.8,3.3734984397888184,19.6121,0.024111675126903553,0.034
B-n35-k5,955,1001.0,1003.2,6.020930290222168,22.4707,0.048167539267015703,0.0505
B-n38-k6,805,810.0,832.0,49.80801200866699,37.2056,0.006211180124223602,0.0335
B-n39-k5,549,609.0,621.4,51.91500544548035,13.384,0.1092896174863388,0.1319
B-n41-k6,829,842.0,846.6,5.781069993972778,43.0098,0.015681544028950542,0.0212
B-n43-k6,742,766.0,778.8,1.2032725811004639,36.5784,0.03234501347708895,0.0496
B-n44-k7,909,929.0,973.6,25.393178939819336,20.4422,0.022002200220022004,0.0711
B-n45-k5,751,786.0,803.0,37.69864892959595,38.0565,0.04660452729693742,0.0692
B-n45-k6,678,715.0,722.2,86.77265095710754,43.3344,0.05457227138643068,0.0652
B-n50-k7,741,763.0,771.4,57.40700626373291,54.3942,0.029689608636977057,0.041
B-n50-k8,1312,1345.0,1353.8,79.82716417312622,73.5199,0.025152439024390245,0.0319
B-n51-k7,1032,1066.0,1079.6,37.6342191696167,53.0703,0.03294573643410853,0.0461
B-n52-k7,747,810.0,816.8,23.278663158416748,74.0216,0.08433734939759036,0.0934
B-n56-k7,707,749.0,759.4,94.95569705963135,105.2079,0.0594059405940594,0.0741
B-n57-k7,1153,1213.0,1228.4,79.67000126838684,70.7303,0.05203816131830009,0.0654
B-n57-k9,1598,1671.0,1674.6,25.627058267593384,55.8202,0.045682102628285357,0.0479
B-n63-k10,1496,1613.0,1629.2,264.2313117980957,215.1903,0.07820855614973261,0.089
B-n64-k9,861,947.0,974.6,77.1502149105072,62.5351,0.09988385598141696,0.1319
B-n66-k9,1316,1375.0,1385.0,32.749024391174316,65.0896,0.044832826747720364,0.0524
B-n67-k10,1032,1131.0,1163.0,95.79523396492004,67.1703,0.09593023255813954,0.1269
B-n68-k9,1272,1386.0,1402.4,196.75972390174866,169.2033,0.08962264150943396,0.1025
B-n78-k10,1221,1362.0,1377.2,151.3477029800415,151.971,0.11547911547911548,0.1279
